instance,solver,status,objective,solve_seconds,wall_seconds,nodes,class,verified
reblock115,samaya,time_limit,,60.019423955,60.0315,44,MILP,False
reblock115,highspy,time_limit,-36170042.27244494,60.00962767400051,60.0096,406,MILP,
reblock115,scip,time_limit,-32518913.276699394,60.00313998100046,60.0031,486,MILP,
reblock115,cbc,time_limit,-36278048.29565845,60.677233923999665,60.6772,11025,,
pk1,samaya,optimal,11,50.09184232,50.1009,330334,MILP,True
pk1,highspy,time_limit,13.999999999999915,60.00381662000018,60.0038,115384,MILP,
pk1,scip,time_limit,11.0,60.00040331300079,60.0004,139987,MILP,
pk1,cbc,optimal,11.0,45.40051675599989,45.4005,112811,,
p200x1188c,samaya,time_limit,15078,59.97865818,59.9908,18983,MILP,True
p200x1188c,highspy,optimal,15078.0,0.7523645560004297,0.7524,1,MILP,
p200x1188c,scip,optimal,15078.0,4.455191701000331,4.4552,1,MILP,
p200x1188c,cbc,time_limit,15531.0,62.17058658199949,62.1706,8224,,
qap10,samaya,time_limit,378,60.006980432,60.0187,1,MILP,True
qap10,highspy,time_limit,348.0,67.19957806500042,67.1996,0,MILP,
qap10,scip,time_limit,454.0,60.0099415349996,60.0099,3,MILP,
qap10,cbc,time_limit,358.0,60.20338351200007,60.2034,0,,
enlight_hard,samaya,time_limit,37,59.949074798,59.9591,139314,MILP,True
enlight_hard,highspy,optimal,37.0,13.085479803000453,13.0855,2303,MILP,
enlight_hard,scip,optimal,37.0,0.00324756299960427,0.0032,1,MILP,
enlight_hard,cbc,time_limit,,61.02370564000012,61.0237,5623,,
neos-4954672-berkel,samaya,time_limit,3920237,59.985618476,59.9965,12424,MILP,True
neos-4954672-berkel,highspy,time_limit,2694400.0,60.002004400999795,60.002,3132,MILP,
neos-4954672-berkel,scip,time_limit,2716013.0,60.000488829999995,60.0005,624,MILP,
neos-4954672-berkel,cbc,time_limit,2800750.0,61.63097873700008,61.631,3314,,
neos-3381206-awhea,samaya,time_limit,,59.889544491,59.9058,95223,MILP,False
neos-3381206-awhea,highspy,optimal,453.0,7.601929489999748,7.6019,206,MILP,
neos-3381206-awhea,scip,optimal,453.0,2.4001420570002665,2.4001,132,MILP,
neos-3381206-awhea,cbc,optimal,453.0,12.9004809879998,12.9005,911,,
beasleyC3,samaya,time_limit,946,60.00257817,60.0125,317,MILP,True
beasleyC3,highspy,optimal,754.0000000000001,26.84431441900051,26.8443,378,MILP,
beasleyC3,scip,optimal,754.0,17.557467697999527,17.5575,1,MILP,
beasleyC3,cbc,time_limit,804.0,60.501776807999704,60.5018,1215,,
gmu-35-50,samaya,time_limit,-2604690.1717,59.909101276,59.9261,102955,MILP,True
gmu-35-50,highspy,time_limit,-2607340.2762,60.00376503900043,60.0038,6243,MILP,
gmu-35-50,scip,time_limit,-2606073.017,60.003199900000254,60.0032,21168,MILP,
gmu-35-50,cbc,time_limit,-2604846.7085,68.17374001000007,68.1737,69071,,
fhnw-binpack4-48,samaya,time_limit,,60.002227564,60.0153,273,MILP,False
fhnw-binpack4-48,highspy,time_limit,,60.04518237299999,60.0452,1311,MILP,
fhnw-binpack4-48,scip,time_limit,,60.00647010299963,60.0065,8526,MILP,
fhnw-binpack4-48,cbc,time_limit,,59.45844722900074,59.4584,136,,
rococoC10-001000,samaya,time_limit,,60.001655178,60.0116,1,MILP,False
rococoC10-001000,highspy,time_limit,11713.0,60.004033384999275,60.004,1644,MILP,
rococoC10-001000,scip,time_limit,11826.0,60.000858469999,60.0009,954,MILP,
rococoC10-001000,cbc,time_limit,11569.0,59.88773473400033,59.8877,2532,,
pg,samaya,time_limit,-8653.940397671786,59.998606706,60.0071,1964,MILP,True
pg,highspy,optimal,-8674.342607117029,6.202398969000569,6.2024,27,MILP,
pg,scip,gaplimit,-8674.342607117022,22.18420147800134,22.1842,128,MILP,
pg,cbc,optimal,-8674.34260712,41.33199196100031,41.332,2070,,
pg5_34,samaya,time_limit,-14310.964575578633,59.997739597,60.006,2974,MILP,True
pg5_34,highspy,time_limit,-14315.761273777769,60.004892156001006,60.0049,1014,MILP,
pg5_34,scip,time_limit,-14313.559958294312,60.0007497000006,60.0007,198,MILP,
pg5_34,cbc,time_limit,-14308.14196695,60.721352402000775,60.7214,4852,,
