instance,solver,status,objective,solve_seconds,wall_seconds,nodes,class,verified
25fv47,samaya,optimal,5501.84588828677,0.192389805,0.1994,0,LP,True
25fv47,highspy,optimal,5501.845888286757,0.12355758000012429,0.1236,,LP,
25fv47,scip,optimal,5501.845888286746,0.34654063200014207,0.3465,,LP,
25fv47,cbc,optimal,5501.8459,0.10654927900031907,0.1065,,,
25fv47,glpk,optimal,5501.845888,0.11247253100009402,0.1125,,,
agg2,samaya,optimal,-20239252.35597711,0.003434385,0.0117,0,LP,True
agg2,highspy,optimal,-20239252.355977118,0.0033015169992722804,0.0033,,LP,
agg2,scip,optimal,-20239252.355977118,0.00756868200005556,0.0076,,LP,
agg2,cbc,optimal,-20239252.0,0.006008125999869662,0.006,,,
agg2,glpk,optimal,-20239252.36,0.006628473000091617,0.0066,,,
bnl1,samaya,optimal,1977.6295615228862,0.023989078,0.0269,0,LP,True
bnl1,highspy,optimal,1977.6295615228878,0.016972933000033663,0.017,,LP,
bnl1,scip,optimal,1977.6295615228867,0.05559219499991741,0.0556,,LP,
bnl1,cbc,optimal,1977.6296,0.022767368000131682,0.0228,,,
bnl1,glpk,optimal,1977.629562,0.02541500199913571,0.0254,,,
brandy,samaya,optimal,1518.509896488128,0.00273536,0.0056,0,LP,True
brandy,highspy,optimal,1518.5098964881279,0.0034513330001573195,0.0035,,LP,
brandy,scip,optimal,1518.509896488128,0.015117140000256768,0.0151,,LP,
brandy,cbc,optimal,1518.5099,0.0070040919999883045,0.007,,,
brandy,glpk,optimal,1518.509896,0.0054740650002713664,0.0055,,,
d6cube,samaya,optimal,315.4916666666666,0.060323154,0.0689,0,LP,True
d6cube,highspy,optimal,315.49166666666696,0.08393898400026956,0.0839,,LP,
d6cube,scip,optimal,315.49166666666645,0.31657808700038004,0.3166,,LP,
d6cube,cbc,optimal,315.49167,0.05950240899983328,0.0595,,,
d6cube,glpk,optimal,315.4916667,0.7410729079992961,0.7411,,,
etamacro,samaya,optimal,-755.7152333079044,0.007313732,0.0104,0,LP,True
etamacro,highspy,optimal,-755.7152333005275,0.0063173700000334065,0.0063,,LP,
etamacro,scip,optimal,-755.7152332694528,0.013494224999703874,0.0135,,LP,
etamacro,cbc,optimal,-755.71523,0.009124338000219723,0.0091,,,
etamacro,glpk,optimal,-755.7152333,0.009900355999889143,0.0099,,,
fit2d,samaya,optimal,-68464.29329383207,0.189756106,0.2112,0,LP,True
fit2d,highspy,optimal,-68464.2932938321,0.0881040859994755,0.0881,,LP,
